Date;Open;High;Low;Close;Adj Close;Volume;
14/05/2018;2.997.000;2.997.000;2.986.000;2.995.000;2.995.000;0;
15/05/2018;3.026.000;3.095.000;3.023.000;3.080.000;3.080.000;0;
16/05/2018;3.061.000;3.095.000;3.058.000;3.095.000;3.095.000;0;
17/05/2018;3.106.000;3.115.000;3.093.000;3.109.000;3.109.000;0;
18/05/2018;3.104.000;3.106.000;3.065.000;3.067.000;3.067.000;0;
21/05/2018;3.076.000;3.078.000;3.058.000;3.065.000;3.065.000;0;
22/05/2018;3.074.000;3.078.000;3.058.000;3.065.000;3.065.000;0;
23/05/2018;3.008.000;3.028.000;3.003.000;3.003.000;3.003.000;0;
24/05/2018;2.994.000;2.995.000;2.955.000;2.981.000;2.981.000;0;
25/05/2018;2.951.000;2.951.000;2.922.000;2.931.000;2.931.000;0;
29/05/2018;2.879.000;2.891.000;2.759.000;2.768.000;2.768.000;0;
30/05/2018;2.866.000;2.866.000;2.821.000;2.842.000;2.842.000;0;
31/05/2018;2.866.000;2.870.000;2.822.000;2.822.000;2.822.000;0;
1/06/2018;2.900.000;2.924.000;2.880.000;2.895.000;2.895.000;0;
4/06/2018;2.911.000;2.941.000;2.902.000;2.937.000;2.937.000;0;
5/06/2018;2.911.000;2.931.000;2.900.000;2.919.000;2.919.000;0;
6/06/2018;2.955.000;2.981.000;2.948.000;2.975.000;2.975.000;0;
7/06/2018;2.990.000;2.992.000;2.884.000;2.933.000;2.933.000;0;
8/06/2018;2.924.000;2.942.000;2.921.000;2.937.000;2.937.000;0;
11/06/2018;2.963.000;2.970.000;2.952.000;2.957.000;2.957.000;0;
12/06/2018;2.970.000;2.981.000;2.957.000;2.957.000;2.957.000;0;
13/06/2018;2.957.000;3.009.000;2.950.000;2.977.000;2.977.000;0;
14/06/2018;2.939.000;2.965.000;2.928.000;2.946.000;2.946.000;0;
15/06/2018;2.926.000;2.930.000;2.889.000;2.924.000;2.924.000;0;
18/06/2018;2.902.000;2.933.000;2.902.000;2.926.000;2.926.000;0;
